Date,Product,Category,Region,Revenue,Quantity,Profit
2026-04-01,Quantum Laptop,Electronics,North,1200,1,300
2026-04-02,Optic Screen 27,Electronics,South,450,1,120
2026-04-03,Ergonomic Desk,Furniture,West,,2,200
2026-04-04,Cyber Phone X,Electronics,East,950,,285
2026-04-05,NoiseCancel Pods,Electronics,North,360,2,90
2026-04-06,Leather Task Chair,Furniture,South,640,2,160
2026-04-07,Quantum Laptop,Electronics,West,2400,2,600
2026-04-07,Quantum Laptop,Electronics,West,2400,2,600
2026-04-09,Smart Watch Series 4,Electronics,North,600,2,150
,Bamboo Filing Cabinet,Furniture,South,300,1,75
